"Id","ImageId","AnswerImageId","AnswerOption","DifficultyLevel","AnswerVideoPath","ColorMeter","CourseId","BookName","CourseName","CourseTopicName","SubCourseTopicName","CourseTopicId","NewCourseTopicName","PublisherId","SubCourseTopicUniqueId","AchievementId","NewSubCourseTopicName","CourseTopicUniqueId","ExamCategoryId","ImageUrl","AnswerImageUrl","QuestionPartImageUrls","RowStatus","IsImageLarge","CropDimensions","CropPartDimensions","TagName","AchievementName","BookSectionCropId","Coordinates","IsImageCropPart"
513569,"crops/yq98dz71gt57jy56dy68dyvs","","D",1,"https://xamlvideo.pakodemy.com/?id=513569.xaml",42,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176336.jpg","","",True,False,"{""Width"":2955,""Height"":840,""NaturalWidth"" : 394.0, ""NaturalHeight"" :112.0, ""CropWidth"" : 268.0, ""CropHeight"" : 76.2, ""CropWidthRatio"":46.5,""CropHeightRatio"":9.3}",NULL,NULL,NULL,513569,"[{""A"": {""X1"": 62, ""X2"": 430, ""Y1"": 656, ""Y2"": 779}}, {""B"": {""X1"": 888, ""X2"": 1234, ""Y1"": 656, ""Y2"": 779}}, {""C"": {""X1"": 1687, ""X2"": 2044, ""Y1"": 656, ""Y2"": 779}}, {""D"": {""X1"": 2502, ""X2"": 2858, ""Y1"": 656, ""Y2"": 779}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513565,"crops/hz87fa23pc69kf76zd20dcln","","D",4,"https://xamlvideo.pakodemy.com/?id=513565.xaml",71,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176332.jpg","","",True,False,"{""Width"":2925,""Height"":1980,""NaturalWidth"" : 390.0, ""NaturalHeight"" :264.0, ""CropWidth"" : 268.0, ""CropHeight"" : 181.4, ""CropWidthRatio"":46.5,""CropHeightRatio"":22.1}",NULL,NULL,NULL,513565,"[{""A"": {""X1"": 62, ""X2"": 544, ""Y1"": 958, ""Y2"": 1081}}, {""B"": {""X1"": 72, ""X2"": 793, ""Y1"": 1238, ""Y2"": 1361}}, {""C"": {""X1"": 67, ""X2"": 918, ""Y1"": 1518, ""Y2"": 1641}}, {""D"": {""X1"": 72, ""X2"": 799, ""Y1"": 1798, ""Y2"": 1921}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513563,"crops/vf71vy29er48bg96sg54svfw","","B",2,"https://xamlvideo.pakodemy.com/?id=513563.xaml",86,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176330.jpg","","",True,False,"{""Width"":2925,""Height"":2550,""NaturalWidth"" : 390.0, ""NaturalHeight"" :340.0, ""CropWidth"" : 268.0, ""CropHeight"" : 233.6, ""CropWidthRatio"":46.5,""CropHeightRatio"":28.4}",NULL,NULL,NULL,513563,"[{""A"": {""X1"": 61, ""X2"": 359, ""Y1"": 2364, ""Y2"": 2487}}, {""B"": {""X1"": 911, ""X2"": 1188, ""Y1"": 2364, ""Y2"": 2487}}, {""C"": {""X1"": 1735, ""X2"": 2022, ""Y1"": 2364, ""Y2"": 2487}}, {""D"": {""X1"": 2573, ""X2"": 2857, ""Y1"": 2364, ""Y2"": 2487}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513564,"crops/rl76gx46bk26rd32no58idnq","","C",3,"https://xamlvideo.pakodemy.com/?id=513564.xaml",42,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176331.jpg","","",True,False,"{""Width"":2925,""Height"":840,""NaturalWidth"" : 390.0, ""NaturalHeight"" :112.0, ""CropWidth"" : 268.0, ""CropHeight"" : 77.0, ""CropWidthRatio"":46.5,""CropHeightRatio"":9.4}",NULL,NULL,NULL,513564,"[{""A"": {""X1"": 61, ""X2"": 280, ""Y1"": 656, ""Y2"": 779}}, {""B"": {""X1"": 934, ""X2"": 1138, ""Y1"": 656, ""Y2"": 779}}, {""C"": {""X1"": 1786, ""X2"": 1995, ""Y1"": 656, ""Y2"": 779}}, {""D"": {""X1"": 2647, ""X2"": 2858, ""Y1"": 656, ""Y2"": 779}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513568,"crops/nl22nq85fa34wv12rt16lytl","","D",3,"https://xamlvideo.pakodemy.com/?id=513568.xaml",87,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176335.jpg","","",True,False,"{""Width"":2925,""Height"":2640,""NaturalWidth"" : 390.0, ""NaturalHeight"" :352.0, ""CropWidth"" : 268.0, ""CropHeight"" : 241.9, ""CropWidthRatio"":46.5,""CropHeightRatio"":29.4}",NULL,NULL,NULL,513568,"[{""A"": {""X1"": 62, ""X2"": 354, ""Y1"": 2456, ""Y2"": 2579}}, {""B"": {""X1"": 910, ""X2"": 1184, ""Y1"": 2456, ""Y2"": 2579}}, {""C"": {""X1"": 1738, ""X2"": 2018, ""Y1"": 2456, ""Y2"": 2579}}, {""D"": {""X1"": 2575, ""X2"": 2858, ""Y1"": 2456, ""Y2"": 2579}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513561,"crops/ez26nr71bo25pp37yo43gypu","","A",2,"https://xamlvideo.pakodemy.com/?id=513561.xaml",241,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176328.jpg","","",True,True,"{""Width"":5610,""Height"":4470,""NaturalWidth"" : 748.0, ""NaturalHeight"" :596.0, ""CropWidth"" : 536.0, ""CropHeight"" : 427.1, ""CropWidthRatio"":93.1,""CropHeightRatio"":52}",NULL,NULL,NULL,513561,"[{""A"": {""X1"": 62, ""X2"": 823, ""Y1"": 3807, ""Y2"": 3930}}, {""B"": {""X1"": 3119, ""X2"": 4420, ""Y1"": 3807, ""Y2"": 3930}}, {""C"": {""X1"": 67, ""X2"": 1251, ""Y1"": 4117, ""Y2"": 4245}}, {""D"": {""X1"": 3123, ""X2"": 3722, ""Y1"": 4117, ""Y2"": 4315}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513570,"crops/ke43xq84kx67yf42wc52arum","","B",2,"https://xamlvideo.pakodemy.com/?id=513570.xaml",42,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176337.jpg","","",True,False,"{""Width"":2925,""Height"":840,""NaturalWidth"" : 390.0, ""NaturalHeight"" :112.0, ""CropWidth"" : 268.0, ""CropHeight"" : 77.0, ""CropWidthRatio"":46.5,""CropHeightRatio"":9.4}",NULL,NULL,NULL,513570,"[{""A"": {""X1"": 62, ""X2"": 285, ""Y1"": 656, ""Y2"": 779}}, {""B"": {""X1"": 888, ""X2"": 1091, ""Y1"": 656, ""Y2"": 779}}, {""C"": {""X1"": 1687, ""X2"": 1971, ""Y1"": 656, ""Y2"": 779}}, {""D"": {""X1"": 2574, ""X2"": 2858, ""Y1"": 656, ""Y2"": 779}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513567,"crops/jq24ba89kq25np23bx40snyf","","A",4,"https://xamlvideo.pakodemy.com/?id=513567.xaml",52,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176334.jpg","","",True,False,"{""Width"":2460,""Height"":1485,""NaturalWidth"" : 328.0, ""NaturalHeight"" :198.0, ""CropWidth"" : 268.0, ""CropHeight"" : 161.8, ""CropWidthRatio"":46.5,""CropHeightRatio"":19.7}",NULL,NULL,NULL,513567,"[{""A"": {""X1"": 62, ""X2"": 961, ""Y1"": 461, ""Y2"": 584}}, {""B"": {""X1"": 73, ""X2"": 959, ""Y1"": 741, ""Y2"": 864}}, {""C"": {""X1"": 68, ""X2"": 1014, ""Y1"": 1021, ""Y2"": 1144}}, {""D"": {""X1"": 73, ""X2"": 907, ""Y1"": 1301, ""Y2"": 1424}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513562,"crops/ar56kr64hl36dp70oi49udgr","","C",2,"https://xamlvideo.pakodemy.com/?id=513562.xaml",128,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176329.jpg","","",True,False,"{""Width"":2925,""Height"":4185,""NaturalWidth"" : 390.0, ""NaturalHeight"" :558.0, ""CropWidth"" : 268.0, ""CropHeight"" : 383.4, ""CropWidthRatio"":46.5,""CropHeightRatio"":46.7}",NULL,NULL,NULL,513562,"[{""A"": {""X1"": 63, ""X2"": 1714, ""Y1"": 3293, ""Y2"": 3418}}, {""B"": {""X1"": 73, ""X2"": 1714, ""Y1"": 3530, ""Y2"": 3655}}, {""C"": {""X1"": 68, ""X2"": 1714, ""Y1"": 3768, ""Y2"": 3893}}, {""D"": {""X1"": 73, ""X2"": 1697, ""Y1"": 4006, ""Y2"": 4131}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
513571,"crops/uu91kv51bj85lt50ks44ofms","","C",2,"https://xamlvideo.pakodemy.com/?id=513571.xaml",68,1,"8.Sınıf Matematik Soru Bankası","Matematik","Çarpanlar ve Katlar, Üslü İfadeler","Çarpanlar ve Katlar, Üslü İfadeler",4037,"Karma",39,3019999,NULL,"Karma",30199,2,"https://d2cqobm8wcb2vo.cloudfront.net/crops/yntlgs/176338.jpg","","",True,False,"{""Width"":2955,""Height"":1875,""NaturalWidth"" : 394.0, ""NaturalHeight"" :250.0, ""CropWidth"" : 268.0, ""CropHeight"" : 170.1, ""CropWidthRatio"":46.5,""CropHeightRatio"":20.7}",NULL,NULL,NULL,513571,"[{""A"": {""X1"": 62, ""X2"": 1549, ""Y1"": 851, ""Y2"": 974}}, {""B"": {""X1"": 73, ""X2"": 1567, ""Y1"": 1131, ""Y2"": 1254}}, {""C"": {""X1"": 68, ""X2"": 1919, ""Y1"": 1411, ""Y2"": 1534}}, {""D"": {""X1"": 73, ""X2"": 1919, ""Y1"": 1691, ""Y2"": 1814}}, {""E"": {""X1"": 0, ""X2"": 0, ""Y1"": 0, ""Y2"": 0}}]",False
